Ranking,Name,Current Price (USD),1h Volume,24h Volume,7d Volume,Market Cap,Logo,Symbol,Description,Creation Date,Website,Source Code
1,Bitcoin,"110,562.79",-0.20,-0.36,6.32,2196724404906.535,https://s2.coinmarketcap.com/static/img/coins/64x64/1.png,BTC,"Bitcoin (BTC) is a cryptocurrency launched in 2010. Users are able to generate BTC through the process of mining. Bitcoin has a current supply of 19,868,568. The last known price of Bitcoin is 110,531.68243338 USD and is down -0.33 over the last 24 hours. It is currently trading on 12183 active market(s) with $58,231,635,598.29 traded over the last 24 hours. More information can be found at https://bitcoin.org/.",2010-07-13,https://bitcoin.org/,https://github.com/bitcoin/bitcoin
2,Ethereum,"2,664.09",-1.27,2.02,2.60,321625580746.2494,https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png,ETH,"Ethereum (ETH) is a cryptocurrency . Ethereum has a current supply of 120,726,337.69033935. The last known price of Ethereum is 2,670.38434419 USD and is up 2.29 over the last 24 hours. It is currently trading on 10305 active market(s) with $26,917,652,731.29 traded over the last 24 hours. More information can be found at https://www.ethereum.org/.",2015-08-07,https://www.ethereum.org/,https://github.com/ethereum/go-ethereum
3,Tether USDt,1.00,-0.02,-0.01,-0.03,152367431245.09415,https://s2.coinmarketcap.com/static/img/coins/64x64/825.png,USDT,"Tether USDt (USDT) is a cryptocurrency and operates on the Ethereum platform. Tether USDt has a current supply of 156,005,326,362.04040224 with 152,399,462,952.21071789 in circulation. The last known price of Tether USDt is 0.99974942 USD and is down -0.03 over the last 24 hours. It is currently trading on 129269 active market(s) with $103,605,395,346.43 traded over the last 24 hours. More information can be found at https://tether.to.",2015-02-25,https://tether.to,N/A
4,XRP,2.44,-0.74,1.47,0.41,142910014743.18823,https://s2.coinmarketcap.com/static/img/coins/64x64/52.png,XRP,"XRP (XRP) is a cryptocurrency . XRP has a current supply of 99,986,107,098 with 58,686,007,292 in circulation. The last known price of XRP is 2.43907044 USD and is up 1.60 over the last 24 hours. It is currently trading on 1613 active market(s) with $3,577,275,914.63 traded over the last 24 hours. More information can be found at https://xrpl.org/.",2013-08-04,https://xrpl.org/,https://github.com/ripple/rippled
5,BNB,686.52,-0.09,0.79,4.30,96723008574.46492,https://s2.coinmarketcap.com/static/img/coins/64x64/1839.png,BNB,"BNB (BNB) is a cryptocurrency . BNB has a current supply of 140,888,289.41. The last known price of BNB is 687.09528718 USD and is up 0.88 over the last 24 hours. It is currently trading on 2540 active market(s) with $2,026,665,589.44 traded over the last 24 hours. More information can be found at https://bnbchain.org/en.",2017-07-25,https://bnbchain.org/en,https://github.com/bnb-chain
6,Solana,180.52,-1.10,2.71,4.47,93902314593.92908,https://s2.coinmarketcap.com/static/img/coins/64x64/5426.png,SOL,"Solana (SOL) is a cryptocurrency launched in 2020. Solana has a current supply of 601,386,851.6506969 with 520,165,266.71017504 in circulation. The last known price of Solana is 180.68228519 USD and is up 2.91 over the last 24 hours. It is currently trading on 923 active market(s) with $5,122,838,246.60 traded over the last 24 hours. More information can be found at https://solana.com.",2020-04-10,https://solana.com,https://github.com/solana-labs
7,USDC,1.00,0.01,0.00,-0.01,61176856328.53303,https://s2.coinmarketcap.com/static/img/coins/64x64/3408.png,USDC,"USDC (USDC) is a cryptocurrency and operates on the Ethereum platform. USDC has a current supply of 61,194,672,531.1648235. The last known price of USDC is 0.99967387 USD and is down -0.01 over the last 24 hours. It is currently trading on 28137 active market(s) with $14,308,498,428.12 traded over the last 24 hours. More information can be found at https://www.usdc.com/.",2018-10-08,https://www.usdc.com/,https://github.com/centrehq/centre-tokens
8,Dogecoin,0.24,-1.24,2.81,7.67,36523546297.382904,https://s2.coinmarketcap.com/static/img/coins/64x64/74.png,DOGE,"Dogecoin (DOGE) is a cryptocurrency . Users are able to generate DOGE through the process of mining. Dogecoin has a current supply of 149,378,676,383.70523. The last known price of Dogecoin is 0.24518636 USD and is up 2.95 over the last 24 hours. It is currently trading on 1226 active market(s) with $2,789,726,895.47 traded over the last 24 hours. More information can be found at http://dogecoin.com/.",2013-12-15,http://dogecoin.com/,https://github.com/dogecoin/dogecoin
9,Cardano,0.81,-1.21,3.52,3.72,28738978822.39506,https://s2.coinmarketcap.com/static/img/coins/64x64/2010.png,ADA,"Cardano (ADA) is a cryptocurrency launched in 2017. Cardano has a current supply of 44,994,497,629.719788 with 35,324,161,322.982795 in circulation. The last known price of Cardano is 0.81504129 USD and is up 3.80 over the last 24 hours. It is currently trading on 1520 active market(s) with $1,166,071,062.40 traded over the last 24 hours. More information can be found at https://www.cardano.org.",2017-10-01,https://www.cardano.org,https://cardanoupdates.com/
10,TRON,0.27,0.21,0.81,-0.88,26015817642.343838,https://s2.coinmarketcap.com/static/img/coins/64x64/1958.png,TRX,"TRON (TRX) is a cryptocurrency . TRON has a current supply of 94,881,045,380.272718 with 94,881,060,393.248788 in circulation. The last known price of TRON is 0.27414693 USD and is up 0.83 over the last 24 hours. It is currently trading on 1177 active market(s) with $1,063,568,188.57 traded over the last 24 hours. More information can be found at https://trondao.org/.",2017-09-13,https://trondao.org/,https://github.com/tronprotocol/java-tron
11,Sui,3.86,-0.48,-4.30,-0.47,12891988962.067997,https://s2.coinmarketcap.com/static/img/coins/64x64/20947.png,SUI,"Sui (SUI) is a cryptocurrency . Sui has a current supply of 10,000,000,000 with 3,338,327,017.9116654 in circulation. The last known price of Sui is 3.8583932 USD and is down -4.25 over the last 24 hours. It is currently trading on 662 active market(s) with $3,577,491,400.24 traded over the last 24 hours. More information can be found at https://sui.io/#.",2022-07-12,https://sui.io/#,https://github.com/MystenLabs
12,Hyperliquid,34.90,0.57,14.31,30.86,11654243394.622807,https://s2.coinmarketcap.com/static/img/coins/64x64/32196.png,HYPE,"Hyperliquid (HYPE) is a cryptocurrency and operates on the Hyperliquid platform. Hyperliquid has a current supply of 999,993,930 with 333,928,180 in circulation. The last known price of Hyperliquid is 34.97538092 USD and is up 14.60 over the last 24 hours. It is currently trading on 79 active market(s) with $493,038,973.83 traded over the last 24 hours. More information can be found at https://hyperliquid.xyz/.",2024-07-15,https://hyperliquid.xyz/,N/A
13,Chainlink,16.69,-1.39,2.67,1.89,10966433354.695288,https://s2.coinmarketcap.com/static/img/coins/64x64/1975.png,LINK,"Chainlink (LINK) is a cryptocurrency and operates on the Ethereum platform. Chainlink has a current supply of 1,000,000,000 with 657,099,970.45278671 in circulation. The last known price of Chainlink is 16.71831708 USD and is up 2.75 over the last 24 hours. It is currently trading on 2012 active market(s) with $617,508,853.66 traded over the last 24 hours. More information can be found at https://chain.link/.",2017-09-20,https://chain.link/,https://github.com/smartcontractkit/chainlink
14,Avalanche,25.11,-1.85,4.89,4.81,10574957838.124063,https://s2.coinmarketcap.com/static/img/coins/64x64/5805.png,AVAX,"Avalanche (AVAX) is a cryptocurrency launched in 2020. Avalanche has a current supply of 456,070,407.31808007 with 421,067,707.31808007 in circulation. The last known price of Avalanche is 25.15352514 USD and is up 5.08 over the last 24 hours. It is currently trading on 915 active market(s) with $717,510,240.52 traded over the last 24 hours. More information can be found at https://avax.network/.",2020-07-13,https://avax.network/,https://github.com/ava-labs/avalanchego
15,Stellar,0.30,-1.11,1.58,1.69,9393604232.968578,https://s2.coinmarketcap.com/static/img/coins/64x64/512.png,XLM,"Stellar (XLM) is a cryptocurrency . Stellar has a current supply of 50,001,786,892.81785 with 31,095,160,948.293293 in circulation. The last known price of Stellar is 0.30252071 USD and is up 1.77 over the last 24 hours. It is currently trading on 708 active market(s) with $283,196,671.90 traded over the last 24 hours. More information can be found at https://www.stellar.org.",2014-08-05,https://www.stellar.org,https://github.com/stellar/stellar-core
16,Shiba Inu,0.00,-1.25,2.85,1.99,9082617085.364664,https://s2.coinmarketcap.com/static/img/coins/64x64/5994.png,SHIB,"Shiba Inu (SHIB) is a cryptocurrency launched in 2020and operates on the Ethereum platform. Shiba Inu has a current supply of 589,504,168,190,509.27670757 with 589,249,738,948,632.78015197 in circulation. The last known price of Shiba Inu is 0.00001546 USD and is up 3.12 over the last 24 hours. It is currently trading on 967 active market(s) with $394,880,420.02 traded over the last 24 hours. More information can be found at https://shibatoken.com/.",2020-08-01,https://shibatoken.com/,https://github.com/shytoshikusama/
17,Bitcoin Cash,442.77,-1.76,6.62,10.66,8799443550.355705,https://s2.coinmarketcap.com/static/img/coins/64x64/1831.png,BCH,"Bitcoin Cash (BCH) is a cryptocurrency . Users are able to generate BCH through the process of mining. Bitcoin Cash has a current supply of 19,873,475. The last known price of Bitcoin Cash is 443.77577665 USD and is up 6.88 over the last 24 hours. It is currently trading on 1020 active market(s) with $556,021,707.28 traded over the last 24 hours. More information can be found at http://bch.info.",2017-07-23,http://bch.info,https://gitlab.com/bitcoin-cash-node/
18,Hedera,0.20,-1.08,1.58,1.49,8601876287.549187,https://s2.coinmarketcap.com/static/img/coins/64x64/4642.png,HBAR,"Hedera (HBAR) is a cryptocurrency launched in 2017. Hedera has a current supply of 50,000,000,000 with 42,239,760,468.95313453 in circulation. The last known price of Hedera is 0.20395768 USD and is up 1.74 over the last 24 hours. It is currently trading on 341 active market(s) with $228,747,304.51 traded over the last 24 hours. More information can be found at https://www.hedera.com/.",2019-09-17,https://www.hedera.com/,https://github.com/hashgraph
