#,Name,Current Price (USD),1h Volume,24h Volume,7d Volume,Market Cap (USD),Logo,Symbol,Description,Creation Date,Website,Source Code
1,Bitcoin,"109,856.26",0.10,2.04,6.51,"2,182,860,456,352.13",https://s2.coinmarketcap.com/static/img/coins/64x64/1.png,BTC,"Bitcoin (BTC) is a cryptocurrency launched in 2010. Users are able to generate BTC through the process of mining. Bitcoin has a current supply of 19,870,125. The last known price of Bitcoin is 109,859.95603008 USD and is up 2.01 over the last 24 hours. It is currently trading on 12191 active market(s) with $46,358,418,184.94 traded over the last 24 hours. More information can be found at https://bitcoin.org/.",2010-07-13,https://bitcoin.org/,https://github.com/bitcoin/bitcoin
2,Ethereum,"2,565.01",-0.07,1.84,5.22,"309,663,525,514.83",https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png,ETH,"Ethereum (ETH) is a cryptocurrency . Ethereum has a current supply of 120,725,892.76801259. The last known price of Ethereum is 2,563.84268346 USD and is up 1.67 over the last 24 hours. It is currently trading on 10309 active market(s) with $13,306,039,848.30 traded over the last 24 hours. More information can be found at https://www.ethereum.org/.",2015-08-07,https://www.ethereum.org/,https://github.com/ethereum/go-ethereum
3,Tether USDt,1.00,0.02,0.03,0.05,"152,778,107,481.33",https://s2.coinmarketcap.com/static/img/coins/64x64/825.png,USDT,"Tether USDt (USDT) is a cryptocurrency and operates on the Ethereum platform. Tether USDt has a current supply of 156,004,732,005.86600124 with 152,732,954,757.69344189 in circulation. The last known price of Tether USDt is 1.00018904 USD and is up -0.00 over the last 24 hours. It is currently trading on 129640 active market(s) with $65,151,298,507.92 traded over the last 24 hours. More information can be found at https://tether.to.",2015-02-25,https://tether.to,N/A
4,XRP,2.33,-0.28,1.14,0.35,"136,969,651,559.97",https://s2.coinmarketcap.com/static/img/coins/64x64/52.png,XRP,"XRP (XRP) is a cryptocurrency . XRP has a current supply of 99,986,107,098 with 58,686,007,292 in circulation. The last known price of XRP is 2.33397554 USD and is up 1.10 over the last 24 hours. It is currently trading on 1614 active market(s) with $2,040,403,359.60 traded over the last 24 hours. More information can be found at https://xrpl.org/.",2013-08-04,https://xrpl.org/,https://github.com/ripple/rippled
5,BNB,673.62,-0.03,0.99,5.13,"94,904,496,919.24",https://s2.coinmarketcap.com/static/img/coins/64x64/1839.png,BNB,"BNB (BNB) is a cryptocurrency . BNB has a current supply of 140,888,059.62. The last known price of BNB is 673.33694616 USD and is up 0.96 over the last 24 hours. It is currently trading on 2547 active market(s) with $1,581,296,834.79 traded over the last 24 hours. More information can be found at https://bnbchain.org/en.",2017-07-25,https://bnbchain.org/en,https://github.com/bnb-chain
6,Solana,177.95,0.11,3.25,9.00,"92,603,951,770.73",https://s2.coinmarketcap.com/static/img/coins/64x64/5426.png,SOL,"Solana (SOL) is a cryptocurrency launched in 2020. Solana has a current supply of 601,681,132.2371485 with 520,407,039.66418326 in circulation. The last known price of Solana is 177.92542311 USD and is up 3.17 over the last 24 hours. It is currently trading on 924 active market(s) with $3,018,397,313.76 traded over the last 24 hours. More information can be found at https://solana.com.",2020-04-10,https://solana.com,https://github.com/solana-labs
7,USDC,1.00,0.01,-0.01,-0.01,"61,595,857,449.60",https://s2.coinmarketcap.com/static/img/coins/64x64/3408.png,USDC,"USDC (USDC) is a cryptocurrency and operates on the Ethereum platform. USDC has a current supply of 61,630,608,864.3138635. The last known price of USDC is 0.9997261 USD and is down -0.02 over the last 24 hours. It is currently trading on 28216 active market(s) with $10,030,510,477.34 traded over the last 24 hours. More information can be found at https://www.usdc.com/.",2018-10-08,https://www.usdc.com/,https://github.com/centrehq/centre-tokens
8,Dogecoin,0.23,0.15,2.71,3.72,"33,861,706,308.28",https://s2.coinmarketcap.com/static/img/coins/64x64/74.png,DOGE,"Dogecoin (DOGE) is a cryptocurrency . Users are able to generate DOGE through the process of mining. Dogecoin has a current supply of 149,423,546,383.70523. The last known price of Dogecoin is 0.22652306 USD and is up 2.64 over the last 24 hours. It is currently trading on 1229 active market(s) with $1,300,121,958.69 traded over the last 24 hours. More information can be found at http://dogecoin.com/.",2013-12-15,http://dogecoin.com/,https://github.com/dogecoin/dogecoin
9,Cardano,0.77,-0.42,2.56,4.89,"27,100,805,182.57",https://s2.coinmarketcap.com/static/img/coins/64x64/2010.png,ADA,"Cardano (ADA) is a cryptocurrency launched in 2017. Cardano has a current supply of 44,994,495,302.314506 with 35,334,514,487.467261 in circulation. The last known price of Cardano is 0.7675861 USD and is up 2.71 over the last 24 hours. It is currently trading on 1521 active market(s) with $685,742,340.02 traded over the last 24 hours. More information can be found at https://www.cardano.org.",2017-10-01,https://www.cardano.org,https://cardanoupdates.com/
10,TRON,0.27,-0.30,0.26,3.42,"25,977,155,452.76",https://s2.coinmarketcap.com/static/img/coins/64x64/1958.png,TRX,"TRON (TRX) is a cryptocurrency . TRON has a current supply of 94,876,844,714.919458 with 94,876,791,818.932598 in circulation. The last known price of TRON is 0.27384673 USD and is up 0.28 over the last 24 hours. It is currently trading on 1178 active market(s) with $481,585,569.46 traded over the last 24 hours. More information can be found at https://trondao.org/.",2017-09-13,https://trondao.org/,https://github.com/tronprotocol/java-tron
11,Hyperliquid,38.10,-0.02,1.26,49.30,"12,722,097,344.74",https://s2.coinmarketcap.com/static/img/coins/64x64/32196.png,HYPE,"Hyperliquid (HYPE) is a cryptocurrency and operates on the Hyperliquid platform. Hyperliquid has a current supply of 999,993,930 with 333,928,180 in circulation. The last known price of Hyperliquid is 38.05118864 USD and is up 0.95 over the last 24 hours. It is currently trading on 85 active market(s) with $457,021,351.34 traded over the last 24 hours. More information can be found at https://hyperliquid.xyz/.",2024-07-15,https://hyperliquid.xyz/,N/A
12,Sui,3.58,0.11,1.43,-3.10,"11,943,824,696.88",https://s2.coinmarketcap.com/static/img/coins/64x64/20947.png,SUI,"Sui (SUI) is a cryptocurrency . Sui has a current supply of 10,000,000,000 with 3,338,327,017.9116654 in circulation. The last known price of Sui is 3.57584313 USD and is up 1.26 over the last 24 hours. It is currently trading on 664 active market(s) with $829,369,324.33 traded over the last 24 hours. More information can be found at https://sui.io/#.",2022-07-12,https://sui.io/#,https://github.com/MystenLabs
13,Chainlink,15.65,-0.32,2.40,2.25,"10,282,938,466.78",https://s2.coinmarketcap.com/static/img/coins/64x64/1975.png,LINK,"Chainlink (LINK) is a cryptocurrency and operates on the Ethereum platform. Chainlink has a current supply of 1,000,000,000 with 657,099,970.45278671 in circulation. The last known price of Chainlink is 15.65837249 USD and is up 2.58 over the last 24 hours. It is currently trading on 2013 active market(s) with $315,533,732.02 traded over the last 24 hours. More information can be found at https://chain.link/.",2017-09-20,https://chain.link/,https://github.com/smartcontractkit/chainlink
14,Avalanche,23.60,-0.31,4.93,7.89,"9,940,376,118.63",https://s2.coinmarketcap.com/static/img/coins/64x64/5805.png,AVAX,"Avalanche (AVAX) is a cryptocurrency launched in 2020. Avalanche has a current supply of 456,125,271.6457337 with 421,122,571.6457337 in circulation. The last known price of Avalanche is 23.59986986 USD and is up 4.96 over the last 24 hours. It is currently trading on 915 active market(s) with $324,286,643.12 traded over the last 24 hours. More information can be found at https://avax.network/.",2020-07-13,https://avax.network/,https://github.com/ava-labs/avalanchego
15,Stellar,0.29,-0.20,1.47,2.08,"8,955,329,219.31",https://s2.coinmarketcap.com/static/img/coins/64x64/512.png,XLM,"Stellar (XLM) is a cryptocurrency . Stellar has a current supply of 50,001,786,892.81785 with 31,115,822,603.5043 in circulation. The last known price of Stellar is 0.28761503 USD and is up 1.36 over the last 24 hours. It is currently trading on 708 active market(s) with $139,058,661.48 traded over the last 24 hours. More information can be found at https://www.stellar.org.",2014-08-05,https://www.stellar.org,https://github.com/stellar/stellar-core
16,Shiba Inu,0.00,-0.12,1.08,2.03,"8,547,909,216.69",https://s2.coinmarketcap.com/static/img/coins/64x64/5994.png,SHIB,"Shiba Inu (SHIB) is a cryptocurrency launched in 2020and operates on the Ethereum platform. Shiba Inu has a current supply of 589,504,168,190,509.27670757 with 589,249,738,948,632.78015197 in circulation. The last known price of Shiba Inu is 0.00001451 USD and is up 1.05 over the last 24 hours. It is currently trading on 967 active market(s) with $204,926,856.08 traded over the last 24 hours. More information can be found at https://shibatoken.com/.",2020-08-01,https://shibatoken.com/,https://github.com/shytoshikusama/
