#,Name,Current Price (USD),1h%,24h%,7d%,Market Cap,Logo,Symbol,Description,Creation Date,Website,Source Code
1,Bitcoin,"110,413.10",-0.35,-0.19,6.16,2.19E+12,https://s2.coinmarketcap.com/static/img/coins/64x64/1.png,BTC,"Bitcoin (BTC) is a cryptocurrency launched in 2010. Users are able to generate BTC through the process of mining. Bitcoin has a current supply of 19,868,606. The last known price of Bitcoin is 110,404.71934728 USD and is down -0.26 over the last 24 hours. It is currently trading on 12183 active market(s) with $59,346,473,172.24 traded over the last 24 hours. More information can be found at https://bitcoin.org/.",7/13/2010,https://bitcoin.org/,https://github.com/bitcoin/bitcoin
2,Ethereum,"2,654.49",-1.29,1.64,2.22,3.20E+11,https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png,ETH,"Ethereum (ETH) is a cryptocurrency . Ethereum has a current supply of 120,726,337.69033935. The last known price of Ethereum is 2,655.5913336 USD and is up 1.52 over the last 24 hours. It is currently trading on 10305 active market(s) with $27,435,610,918.02 traded over the last 24 hours. More information can be found at https://www.ethereum.org/.",8/7/2015,https://www.ethereum.org/,https://github.com/ethereum/go-ethereum
3,Tether USDt,1,-0.01,-0.02,-0.03,1.52E+11,https://s2.coinmarketcap.com/static/img/coins/64x64/825.png,USDT,"Tether USDt (USDT) is a cryptocurrency and operates on the Ethereum platform. Tether USDt has a current supply of 156,005,326,362.04040224 with 152,399,462,952.21071789 in circulation. The last known price of Tether USDt is 0.99971742 USD and is down -0.04 over the last 24 hours. It is currently trading on 129280 active market(s) with $105,125,326,573.41 traded over the last 24 hours. More information can be found at https://tether.to.",2/25/2015,https://tether.to,N/A
4,XRP,2.42,-1.34,0.82,-0.07,1.42E+11,https://s2.coinmarketcap.com/static/img/coins/64x64/52.png,XRP,"XRP (XRP) is a cryptocurrency . XRP has a current supply of 99,986,107,098 with 58,686,007,292 in circulation. The last known price of XRP is 2.43113514 USD and is up 1.46 over the last 24 hours. It is currently trading on 1613 active market(s) with $3,607,617,689.56 traded over the last 24 hours. More information can be found at https://xrpl.org/.",8/4/2013,https://xrpl.org/,https://github.com/ripple/rippled
5,BNB,683.27,-0.73,0.49,3.78,96264950062,https://s2.coinmarketcap.com/static/img/coins/64x64/1839.png,BNB,"BNB (BNB) is a cryptocurrency . BNB has a current supply of 140,888,287.86. The last known price of BNB is 683.71078375 USD and is up 0.47 over the last 24 hours. It is currently trading on 2540 active market(s) with $2,028,192,536.52 traded over the last 24 hours. More information can be found at https://bnbchain.org/en.",7/25/2017,https://bnbchain.org/en,https://github.com/bnb-chain
6,Solana,180.35,-0.72,2.46,4.38,93810905846,https://s2.coinmarketcap.com/static/img/coins/64x64/5426.png,SOL,"Solana (SOL) is a cryptocurrency launched in 2020. Solana has a current supply of 601,386,833.9277018 with 520,165,248.98718005 in circulation. The last known price of Solana is 180.56109826 USD and is up 2.47 over the last 24 hours. It is currently trading on 923 active market(s) with $5,160,792,080.31 traded over the last 24 hours. More information can be found at https://solana.com.",4/10/2020,https://solana.com,https://github.com/solana-labs
7,USDC,1,0,0,-0.01,61171137396,https://s2.coinmarketcap.com/static/img/coins/64x64/3408.png,USDC,"USDC (USDC) is a cryptocurrency and operates on the Ethereum platform. USDC has a current supply of 61,191,030,545.8430205. The last known price of USDC is 0.99969307 USD and is down -0.02 over the last 24 hours. It is currently trading on 28138 active market(s) with $14,385,028,964.86 traded over the last 24 hours. More information can be found at https://www.usdc.com/.",10/8/2018,https://www.usdc.com/,https://github.com/centrehq/centre-tokens
8,Dogecoin,0.24,-1.98,1.77,6.76,36221492364,https://s2.coinmarketcap.com/static/img/coins/64x64/74.png,DOGE,"Dogecoin (DOGE) is a cryptocurrency . Users are able to generate DOGE through the process of mining. Dogecoin has a current supply of 149,378,946,383.70521. The last known price of Dogecoin is 0.24332959 USD and is up 2.09 over the last 24 hours. It is currently trading on 1226 active market(s) with $2,816,411,236.83 traded over the last 24 hours. More information can be found at http://dogecoin.com/.",12/15/2013,http://dogecoin.com/,https://github.com/dogecoin/dogecoin
9,Cardano,0.81,-1.8,2.42,3.06,28496457547,https://s2.coinmarketcap.com/static/img/coins/64x64/2010.png,ADA,"Cardano (ADA) is a cryptocurrency launched in 2017. Cardano has a current supply of 44,994,497,629.719788 with 35,324,161,322.982795 in circulation. The last known price of Cardano is 0.80906007 USD and is up 2.58 over the last 24 hours. It is currently trading on 1520 active market(s) with $1,175,080,944.09 traded over the last 24 hours. More information can be found at https://www.cardano.org.",10/1/2017,https://www.cardano.org,https://cardanoupdates.com/
10,TRON,0.27,-0.23,0.32,-1.19,25927589174,https://s2.coinmarketcap.com/static/img/coins/64x64/1958.png,TRX,"TRON (TRX) is a cryptocurrency . TRON has a current supply of 94,881,015,799.924298 with 94,881,006,933.523168 in circulation. The last known price of TRON is 0.27370834 USD and is up 0.41 over the last 24 hours. It is currently trading on 1177 active market(s) with $1,071,895,401.76 traded over the last 24 hours. More information can be found at https://trondao.org/.",9/13/2017,https://trondao.org/,https://github.com/tronprotocol/java-tron
