#,Name,Current Price (USD),1h%,24h%,7d%,Market Cap (USD),Logo,Symbol,Description,Creation Date,Website,Source Code
1,Bitcoin,"109,728.93",-0.08,1.94,6.11,"2,180,330,293,757.80",https://s2.coinmarketcap.com/static/img/coins/64x64/1.png,BTC,"Bitcoin (BTC) is a cryptocurrency launched in 2010. Users are able to generate BTC through the process of mining. Bitcoin has a current supply of 19,870,150. The last known price of Bitcoin is 109,644.38213917 USD and is up 1.94 over the last 24 hours. It is currently trading on 12191 active market(s) with $45,372,726,981.88 traded over the last 24 hours. More information can be found at https://bitcoin.org/.",7/13/2010,https://bitcoin.org/,https://github.com/bitcoin/bitcoin
2,Ethereum,"2,550.08",-0.55,1.38,4.77,"307,860,548,439.42",https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png,ETH,"Ethereum (ETH) is a cryptocurrency . Ethereum has a current supply of 120,725,892.76801259. The last known price of Ethereum is 2,552.39868292 USD and is up 1.50 over the last 24 hours. It is currently trading on 10311 active market(s) with $13,647,266,936.08 traded over the last 24 hours. More information can be found at https://www.ethereum.org/.",8/7/2015,https://www.ethereum.org/,https://github.com/ethereum/go-ethereum
3,Tether USDt,1,-0.01,0,0,"152,752,966,896.62",https://s2.coinmarketcap.com/static/img/coins/64x64/825.png,USDT,"Tether USDt (USDT) is a cryptocurrency and operates on the Ethereum platform. Tether USDt has a current supply of 156,004,732,005.86600124 with 152,732,954,757.69344189 in circulation. The last known price of Tether USDt is 1.00035291 USD and is up 0.03 over the last 24 hours. It is currently trading on 129659 active market(s) with $66,415,333,590.42 traded over the last 24 hours. More information can be found at https://tether.to.",2/25/2015,https://tether.to,N/A
4,XRP,2.32,-0.69,0.77,-0.52,"136,131,887,946.27",https://s2.coinmarketcap.com/static/img/coins/64x64/52.png,XRP,"XRP (XRP) is a cryptocurrency . XRP has a current supply of 99,986,107,098 with 58,686,007,292 in circulation. The last known price of XRP is 2.32583656 USD and is up 0.80 over the last 24 hours. It is currently trading on 1614 active market(s) with $2,048,027,941.25 traded over the last 24 hours. More information can be found at https://xrpl.org/.",8/4/2013,https://xrpl.org/,https://github.com/ripple/rippled
5,BNB,672.12,-0.17,0.79,4.77,"94,693,871,665.07",https://s2.coinmarketcap.com/static/img/coins/64x64/1839.png,BNB,"BNB (BNB) is a cryptocurrency . BNB has a current supply of 140,888,056.82. The last known price of BNB is 672.64572253 USD and is up 0.82 over the last 24 hours. It is currently trading on 2547 active market(s) with $1,581,908,567.69 traded over the last 24 hours. More information can be found at https://bnbchain.org/en.",7/25/2017,https://bnbchain.org/en,https://github.com/bnb-chain
6,Solana,176.88,-0.56,2.82,8.9,"92,047,756,851.47",https://s2.coinmarketcap.com/static/img/coins/64x64/5426.png,SOL,"Solana (SOL) is a cryptocurrency launched in 2020. Solana has a current supply of 601,681,113.6556386 with 520,406,910.72664857 in circulation. The last known price of Solana is 176.71593416 USD and is up 2.53 over the last 24 hours. It is currently trading on 924 active market(s) with $3,026,735,501.59 traded over the last 24 hours. More information can be found at https://solana.com.",4/10/2020,https://solana.com,https://github.com/solana-labs
7,USDC,1,0.01,0,0.01,"61,610,349,411.27",https://s2.coinmarketcap.com/static/img/coins/64x64/3408.png,USDC,"USDC (USDC) is a cryptocurrency and operates on the Ethereum platform. USDC has a current supply of 61,617,203,497.5741685. The last known price of USDC is 0.99986081 USD and is up 0.02 over the last 24 hours. It is currently trading on 28216 active market(s) with $10,074,075,213.78 traded over the last 24 hours. More information can be found at https://www.usdc.com/.",10/8/2018,https://www.usdc.com/,https://github.com/centrehq/centre-tokens
8,Dogecoin,0.22,-0.96,2.03,2.66,"33,511,647,209.48",https://s2.coinmarketcap.com/static/img/coins/64x64/74.png,DOGE,"Dogecoin (DOGE) is a cryptocurrency . Users are able to generate DOGE through the process of mining. Dogecoin has a current supply of 149,423,816,383.70527. The last known price of Dogecoin is 0.22457037 USD and is up 1.82 over the last 24 hours. It is currently trading on 1229 active market(s) with $1,306,636,632.93 traded over the last 24 hours. More information can be found at http://dogecoin.com/.",12/15/2013,http://dogecoin.com/,https://github.com/dogecoin/dogecoin
9,Cardano,0.76,-1.22,1.25,4.25,"26,847,452,788.20",https://s2.coinmarketcap.com/static/img/coins/64x64/2010.png,ADA,"Cardano (ADA) is a cryptocurrency launched in 2017. Cardano has a current supply of 44,994,495,302.314506 with 35,334,514,487.467261 in circulation. The last known price of Cardano is 0.76321486 USD and is up 1.63 over the last 24 hours. It is currently trading on 1521 active market(s) with $703,509,648.57 traded over the last 24 hours. More information can be found at https://www.cardano.org.",10/1/2017,https://www.cardano.org,https://cardanoupdates.com/
10,TRON,0.27,-0.6,0.04,2.75,"25,838,514,250.16",https://s2.coinmarketcap.com/static/img/coins/64x64/1958.png,TRX,"TRON (TRX) is a cryptocurrency . TRON has a current supply of 94,876,671,178.020578 with 94,876,630,429.607758 in circulation. The last known price of TRON is 0.27286896 USD and is down -0.09 over the last 24 hours. It is currently trading on 1179 active market(s) with $486,662,678.13 traded over the last 24 hours. More information can be found at https://trondao.org/.",9/13/2017,https://trondao.org/,https://github.com/tronprotocol/java-tron
