#,Name,Current Price (USD),1h%,24h%,7d%,Market Cap (USD),Logo,Symbol,Description,Creation Date,Website,Source Code,Trading Volume Consistency,Liquidity & Order Book Depth,Token Age & Market History,Developer & Team Transparency,Smart Contract Audit & Security,Exchange Listings & Reputation,Community & Social Media Presence,Transaction Patterns & Anomalies,Whitepaper & Roadmap Execution,Regulatory Compliance & Legal Standing
1,Bitcoin,"107,056.32",-0.18,-1.98,2.11,"2,128,052,406,091.36",https://s2.coinmarketcap.com/static/img/coins/64x64/1.png,BTC,"Bitcoin (BTC) is a cryptocurrency launched in 2010. Users are able to generate BTC through the process of mining. Bitcoin has a current supply of 19,877,850. The last known price of Bitcoin is 107,012.33579915 USD and is down -2.06 over the last 24 hours. It is currently trading on 12211 active market(s) with $54,423,236,881.65 traded over the last 24 hours. More information can be found at https://bitcoin.org/.",2010-07-13,https://bitcoin.org/,https://github.com/bitcoin/bitcoin,1,9,8,1,1,4,10,2,1,7
2,Ethereum,"2,734.00",-0.25,-1.07,4.87,"330,053,330,445.47",https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png,ETH,"Ethereum (ETH) is a cryptocurrency . Ethereum has a current supply of 120,721,805.18657295. The last known price of Ethereum is 2,725.21153773 USD and is down -1.47 over the last 24 hours. It is currently trading on 10338 active market(s) with $29,275,268,762.25 traded over the last 24 hours. More information can be found at https://www.ethereum.org/.",2015-08-07,https://www.ethereum.org/,https://github.com/ethereum/go-ethereum,2,4,5,9,5,2,6,9,4,2
3,Tether USDt,1.00,-0.01,-0.02,-0.06,"155,159,524,947.85",https://s2.coinmarketcap.com/static/img/coins/64x64/825.png,USDT,"Tether USDt (USDT) is a cryptocurrency and operates on the Ethereum platform. Tether USDt has a current supply of 157,003,724,947.27401624 with 155,188,887,081.36883189 in circulation. The last known price of Tether USDt is 0.99986004 USD and is down -0.01 over the last 24 hours. It is currently trading on 132533 active market(s) with $87,264,576,676.52 traded over the last 24 hours. More information can be found at https://tether.to.",2015-02-25,https://tether.to,N/A,8,3,5,4,4,1,4,5,1,8
4,XRP,2.23,-0.52,-3.67,1.09,"130,993,752,422.91",https://s2.coinmarketcap.com/static/img/coins/64x64/52.png,XRP,"XRP (XRP) is a cryptocurrency . XRP has a current supply of 99,986,060,343 with 58,819,652,442 in circulation. The last known price of XRP is 2.23002537 USD and is down -3.54 over the last 24 hours. It is currently trading on 1625 active market(s) with $2,806,373,679.92 traded over the last 24 hours. More information can be found at https://xrpl.org/.",2013-08-04,https://xrpl.org/,https://github.com/ripple/rippled,1,3,1,2,3,9,1,9,6,1
5,BNB,663.99,-0.39,-0.37,0.05,"93,547,440,822.18",https://s2.coinmarketcap.com/static/img/coins/64x64/1839.png,BNB,"BNB (BNB) is a cryptocurrency . BNB has a current supply of 140,886,661.73. The last known price of BNB is 664.27768414 USD and is down -0.34 over the last 24 hours. It is currently trading on 2576 active market(s) with $1,727,835,140.00 traded over the last 24 hours. More information can be found at https://bnbchain.org/en.",2017-07-25,https://bnbchain.org/en,https://github.com/bnb-chain,4,3,6,9,10,9,4,4,7,10
6,Solana,157.84,-0.62,-4.06,3.83,"82,972,182,982.66",https://s2.coinmarketcap.com/static/img/coins/64x64/5426.png,SOL,"Solana (SOL) is a cryptocurrency launched in 2020. Solana has a current supply of 602,850,939.2875532 with 525,683,918.48495424 in circulation. The last known price of Solana is 157.7305921 USD and is down -4.15 over the last 24 hours. It is currently trading on 935 active market(s) with $4,455,163,031.77 traded over the last 24 hours. More information can be found at https://solana.com.",2020-04-10,https://solana.com,https://github.com/solana-labs,10,8,4,1,8,8,9,8,5,1
7,USDC,1.00,0.00,-0.00,-0.00,"61,148,925,424.94",https://s2.coinmarketcap.com/static/img/coins/64x64/3408.png,USDC,"USDC (USDC) is a cryptocurrency launched in 2024and operates on the Ethereum platform. USDC has a current supply of 61,169,456,302.2980747. The last known price of USDC is 0.99971171 USD and is down -0.01 over the last 24 hours. It is currently trading on 28620 active market(s) with $12,010,321,014.95 traded over the last 24 hours. More information can be found at https://www.circle.com/en/usdc.",2018-10-08,https://www.circle.com/en/usdc,https://github.com/centrehq/centre-tokens,2,2,2,3,5,3,2,9,4,2
8,Dogecoin,0.19,-0.61,-5.90,-0.96,"27,998,024,594.50",https://s2.coinmarketcap.com/static/img/coins/64x64/74.png,DOGE,"Dogecoin (DOGE) is a cryptocurrency . Users are able to generate DOGE through the process of mining. Dogecoin has a current supply of 149,654,056,383.70521. The last known price of Dogecoin is 0.18731868 USD and is down -5.92 over the last 24 hours. It is currently trading on 1235 active market(s) with $1,353,197,000.88 traded over the last 24 hours. More information can be found at http://dogecoin.com/.",2013-12-15,http://dogecoin.com/,https://github.com/dogecoin/dogecoin,1,4,1,9,6,3,1,7,1,2
9,TRON,0.27,-0.75,-6.44,-0.47,"25,808,581,672.49",https://s2.coinmarketcap.com/static/img/coins/64x64/1958.png,TRX,"TRON (TRX) is a cryptocurrency . TRON has a current supply of 94,844,487,919.359398 with 94,844,458,998.637168 in circulation. The last known price of TRON is 0.27298991 USD and is down -6.13 over the last 24 hours. It is currently trading on 1184 active market(s) with $975,708,120.40 traded over the last 24 hours. More information can be found at https://trondao.org/.",2017-09-13,https://trondao.org/,https://github.com/tronprotocol/java-tron,2,8,3,3,1,6,6,5,7,9
10,Cardano,0.68,-0.70,-5.17,-0.31,"23,929,957,454.87",https://s2.coinmarketcap.com/static/img/coins/64x64/2010.png,ADA,"Cardano (ADA) is a cryptocurrency launched in 2017. Cardano has a current supply of 44,994,596,807.107415 with 35,346,979,015.393979 in circulation. The last known price of Cardano is 0.67808814 USD and is down -4.99 over the last 24 hours. It is currently trading on 1529 active market(s) with $680,469,709.71 traded over the last 24 hours. More information can be found at https://www.cardano.org.",2017-10-01,https://www.cardano.org,https://cardanoupdates.com/,2,9,2,6,4,3,1,5,10,10
11,Hyperliquid,40.41,-1.03,-2.04,15.20,"13,494,452,368.74",https://s2.coinmarketcap.com/static/img/coins/64x64/32196.png,HYPE,"Hyperliquid (HYPE) is a cryptocurrency and operates on the Hyperliquid platform. Hyperliquid has a current supply of 999,993,930 with 333,928,180 in circulation. The last known price of Hyperliquid is 40.41585036 USD and is down -2.04 over the last 24 hours. It is currently trading on 106 active market(s) with $444,775,766.95 traded over the last 24 hours. More information can be found at https://hyperliquid.xyz/.",2024-07-15,https://hyperliquid.xyz/,N/A,3,3,4,9,7,6,4,6,6,6
12,Sui,3.26,-0.78,-5.58,3.47,"11,075,181,008.87",https://s2.coinmarketcap.com/static/img/coins/64x64/20947.png,SUI,"Sui (SUI) is a cryptocurrency . Sui has a current supply of 10,000,000,000 with 3,396,671,135.3644433 in circulation. The last known price of Sui is 3.26443075 USD and is down -5.52 over the last 24 hours. It is currently trading on 679 active market(s) with $922,149,642.48 traded over the last 24 hours. More information can be found at https://sui.io/#.",2022-07-12,https://sui.io/#,https://github.com/MystenLabs,3,9,3,10,10,8,10,10,9,10
13,Chainlink,14.10,-0.92,-6.72,2.69,"9,268,098,240.08",https://s2.coinmarketcap.com/static/img/coins/64x64/1975.png,LINK,"Chainlink (LINK) is a cryptocurrency and operates on the Ethereum platform. Chainlink has a current supply of 1,000,000,000 with 657,099,970.45278671 in circulation. The last known price of Chainlink is 14.10162104 USD and is down -6.76 over the last 24 hours. It is currently trading on 2020 active market(s) with $543,648,590.43 traded over the last 24 hours. More information can be found at https://chain.link/.",2017-09-20,https://chain.link/,https://github.com/smartcontractkit/chainlink,4,10,9,6,1,8,8,8,7,2
14,Avalanche,20.81,-0.48,-5.13,3.38,"8,778,475,536.35",https://s2.coinmarketcap.com/static/img/coins/64x64/5805.png,AVAX,"Avalanche (AVAX) is a cryptocurrency launched in 2020. Avalanche has a current supply of 456,829,470.79853886 with 421,826,770.79853886 in circulation. The last known price of Avalanche is 20.80182098 USD and is down -5.26 over the last 24 hours. It is currently trading on 921 active market(s) with $468,135,301.07 traded over the last 24 hours. More information can be found at https://avax.network/.",2020-07-13,https://avax.network/,https://github.com/ava-labs/avalanchego,2,5,1,6,1,8,8,5,7,10
