#,Name,Current Price (USD),1h%,24h%,7d%,Market Cap (USD),Logo,Symbol,Description,Creation Date,Website,Source Code,Trading Volume Consistency,Liquidity and Order Book Depth,Token Age and Market History,Developer and Team Transparency,Smart Contract Audit and Security Measures,Exchange Listings and Reputation,Community and Social Media Presence,Transaction Patterns and Anomalies,Whitepaper and Roadmap Assessment,Regulatory Compliance and Legal Standing,Total Score
1,Bitcoin,"105,050.30",0.04,0.22,-0.08,"2,088,189,905,323.87",https://s2.coinmarketcap.com/static/img/coins/64x64/1.png,BTC,"Bitcoin (BTC) is a cryptocurrency launched in 2010. Users are able to generate BTC through the process of mining. Bitcoin has a current supply of 19,878,000. The last known price of Bitcoin is 105,066.38761667 USD and is up 0.22 over the last 24 hours. It is currently trading on 12214 active market(s) with $47,844,137,990.22 traded over the last 24 hours. More information can be found at https://bitcoin.org/.",2010-07-13,https://bitcoin.org/,https://github.com/bitcoin/bitcoin,10,10,10,10,10,10,10,10,10,10,101
2,Ethereum,"2,530.65",-0.00,0.06,1.48,"305,502,640,971.17",https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png,ETH,"Ethereum (ETH) is a cryptocurrency . Ethereum has a current supply of 120,721,164.04616433. The last known price of Ethereum is 2,529.9008245 USD and is up 0.04 over the last 24 hours. It is currently trading on 10341 active market(s) with $20,879,265,010.24 traded over the last 24 hours. More information can be found at https://www.ethereum.org/.",2015-08-07,https://www.ethereum.org/,https://github.com/ethereum/go-ethereum,2,10,1,4,2,4,4,3,2,3,37
3,Tether USDt,1.00,-0.00,0.05,-0.02,"155,538,616,322.39",https://s2.coinmarketcap.com/static/img/coins/64x64/825.png,USDT,"Tether USDt (USDT) is a cryptocurrency and operates on the Ethereum platform. Tether USDt has a current supply of 157,003,724,943.10955124 with 155,469,346,382.92399389 in circulation. The last known price of Tether USDt is 1.00048187 USD and is up 0.01 over the last 24 hours. It is currently trading on 132725 active market(s) with $67,156,521,341.88 traded over the last 24 hours. More information can be found at https://tether.to.",2015-02-25,https://tether.to,N/A,2,10,1,4,2,4,4,3,2,3,38
4,XRP,2.17,0.17,1.63,-0.62,"127,836,284,080.51",https://s2.coinmarketcap.com/static/img/coins/64x64/52.png,XRP,"XRP (XRP) is a cryptocurrency . XRP has a current supply of 99,986,037,638 with 58,881,764,070 in circulation. The last known price of XRP is 2.17138005 USD and is up 1.80 over the last 24 hours. It is currently trading on 1625 active market(s) with $2,510,076,249.78 traded over the last 24 hours. More information can be found at https://xrpl.org/.",2013-08-04,https://xrpl.org/,https://github.com/ripple/rippled,2,10,1,4,2,4,4,3,2,3,39
5,BNB,650.59,0.05,-0.63,0.37,"91,659,190,991.59",https://s2.coinmarketcap.com/static/img/coins/64x64/1839.png,BNB,"BNB (BNB) is a cryptocurrency . BNB has a current supply of 140,886,526.98. The last known price of BNB is 650.45076447 USD and is down -0.57 over the last 24 hours. It is currently trading on 2581 active market(s) with $1,430,571,703.60 traded over the last 24 hours. More information can be found at https://bnbchain.org/en.",2017-07-25,https://bnbchain.org/en,https://github.com/bnb-chain,2,10,1,4,2,4,4,3,2,3,40
6,Solana,145.73,0.15,0.80,-4.01,"76,895,472,811.50",https://s2.coinmarketcap.com/static/img/coins/64x64/5426.png,SOL,"Solana (SOL) is a cryptocurrency launched in 2020. Solana has a current supply of 602,996,897.8255103 with 527,644,529.52869344 in circulation. The last known price of Solana is 145.74306183 USD and is up 0.91 over the last 24 hours. It is currently trading on 936 active market(s) with $3,435,393,724.53 traded over the last 24 hours. More information can be found at https://solana.com.",2020-04-10,https://solana.com,https://github.com/solana-labs,2,10,1,4,2,4,4,3,2,3,41
7,USDC,1.00,-0.01,-0.00,-0.02,"61,680,385,091.34",https://s2.coinmarketcap.com/static/img/coins/64x64/3408.png,USDC,"USDC (USDC) is a cryptocurrency launched in 2024and operates on the Ethereum platform. USDC has a current supply of 61,690,815,394.0481877. The last known price of USDC is 0.99995042 USD and is up 0.01 over the last 24 hours. It is currently trading on 28650 active market(s) with $9,332,306,261.08 traded over the last 24 hours. More information can be found at https://www.circle.com/en/usdc.",2018-10-08,https://www.circle.com/en/usdc,https://github.com/centrehq/centre-tokens,2,10,1,4,2,4,4,3,2,3,42
8,Dogecoin,0.18,0.21,1.54,-4.82,"26,503,273,270.85",https://s2.coinmarketcap.com/static/img/coins/64x64/74.png,DOGE,"Dogecoin (DOGE) is a cryptocurrency . Users are able to generate DOGE through the process of mining. Dogecoin has a current supply of 149,680,836,383.70523. The last known price of Dogecoin is 0.17702692 USD and is up 1.71 over the last 24 hours. It is currently trading on 1235 active market(s) with $1,128,176,989.89 traded over the last 24 hours. More information can be found at http://dogecoin.com/.",2013-12-15,http://dogecoin.com/,https://github.com/dogecoin/dogecoin,2,10,1,4,2,4,4,3,2,3,43
9,TRON,0.27,-0.00,-1.71,-3.61,"25,529,397,350.21",https://s2.coinmarketcap.com/static/img/coins/64x64/1958.png,TRX,"TRON (TRX) is a cryptocurrency . TRON has a current supply of 94,839,752,629.911098 with 94,839,729,462.492488 in circulation. The last known price of TRON is 0.26924822 USD and is down -1.57 over the last 24 hours. It is currently trading on 1186 active market(s) with $518,433,991.65 traded over the last 24 hours. More information can be found at https://trondao.org/.",2017-09-13,https://trondao.org/,https://github.com/tronprotocol/java-tron,2,10,1,4,2,4,4,3,2,3,44
10,Cardano,0.64,0.20,0.05,-4.71,"22,472,582,654.71",https://s2.coinmarketcap.com/static/img/coins/64x64/2010.png,ADA,"Cardano (ADA) is a cryptocurrency launched in 2017. Cardano has a current supply of 44,994,989,664.674081 with 35,356,538,084.557689 in circulation. The last known price of Cardano is 0.63543056 USD and is up 0.16 over the last 24 hours. It is currently trading on 1529 active market(s) with $583,713,467.57 traded over the last 24 hours. More information can be found at https://www.cardano.org.",2017-10-01,https://www.cardano.org,https://cardanoupdates.com/,2,10,1,4,2,4,4,3,2,3,45
11,Hyperliquid,41.81,-0.54,4.07,23.06,"13,961,474,785.03",https://s2.coinmarketcap.com/static/img/coins/64x64/32196.png,HYPE,"Hyperliquid (HYPE) is a cryptocurrency and operates on the Hyperliquid platform. Hyperliquid has a current supply of 999,993,930 with 333,928,180 in circulation. The last known price of Hyperliquid is 41.82166383 USD and is up 4.14 over the last 24 hours. It is currently trading on 106 active market(s) with $354,072,778.14 traded over the last 24 hours. More information can be found at https://hyperliquid.xyz/.",2024-07-15,https://hyperliquid.xyz/,N/A,2,10,1,4,2,4,4,3,2,3,46
12,Sui,3.02,0.14,0.21,-7.66,"10,260,030,183.70",https://s2.coinmarketcap.com/static/img/coins/64x64/20947.png,SUI,"Sui (SUI) is a cryptocurrency launched in 2023. Sui has a current supply of 10,000,000,000 with 3,396,671,135.3644433 in circulation. The last known price of Sui is 3.01928156 USD and is up 0.33 over the last 24 hours. It is currently trading on 681 active market(s) with $862,789,299.60 traded over the last 24 hours. More information can be found at https://sui.io/.",2022-07-12,https://sui.io/,https://github.com/MystenLabs,2,10,1,3,2,4,4,3,2,3,46
13,Chainlink,13.17,0.22,-0.49,-5.75,"8,654,511,256.29",https://s2.coinmarketcap.com/static/img/coins/64x64/1975.png,LINK,"Chainlink (LINK) is a cryptocurrency and operates on the Ethereum platform. Chainlink has a current supply of 1,000,000,000 with 657,099,970.45278671 in circulation. The last known price of Chainlink is 13.17250223 USD and is down -0.38 over the last 24 hours. It is currently trading on 2020 active market(s) with $334,737,622.42 traded over the last 24 hours. More information can be found at https://chain.link/.",2017-09-20,https://chain.link/,https://github.com/smartcontractkit/chainlink,2,8,1,3,2,4,4,3,2,3,45
14,Bitcoin Cash,432.70,-0.08,4.07,5.99,"8,603,479,267.66",https://s2.coinmarketcap.com/static/img/coins/64x64/1831.png,BCH,"Bitcoin Cash (BCH) is a cryptocurrency . Users are able to generate BCH through the process of mining. Bitcoin Cash has a current supply of 19,883,428.125. The last known price of Bitcoin Cash is 432.72197941 USD and is up 4.15 over the last 24 hours. It is currently trading on 1024 active market(s) with $434,434,902.94 traded over the last 24 hours. More information can be found at http://bch.info.",2017-07-23,http://bch.info,https://gitlab.com/bitcoin-cash-node/,2,8,1,3,2,4,4,3,2,3,46
15,UNUS SED LEO,9.02,-0.17,-0.63,-0.86,"8,328,306,938.42",https://s2.coinmarketcap.com/static/img/coins/64x64/3957.png,LEO,"UNUS SED LEO (LEO) is a cryptocurrency and operates on the Ethereum platform. UNUS SED LEO has a current supply of 985,239,504 with 923,242,696.9 in circulation. The last known price of UNUS SED LEO is 9.03304254 USD and is down -0.59 over the last 24 hours. It is currently trading on 61 active market(s) with $26,197,010.77 traded over the last 24 hours. More information can be found at https://www.bitfinex.com/.",2019-05-21,https://www.bitfinex.com/,N/A,2,8,1,4,2,4,4,3,2,3,48
16,Stellar,0.26,0.04,0.26,-2.39,"8,091,851,097.31",https://s2.coinmarketcap.com/static/img/coins/64x64/512.png,XLM,"Stellar (XLM) is a cryptocurrency . Stellar has a current supply of 50,001,786,892.81785 with 31,199,436,668.358078 in circulation. The last known price of Stellar is 0.25938922 USD and is up 0.37 over the last 24 hours. It is currently trading on 715 active market(s) with $157,360,328.53 traded over the last 24 hours. More information can be found at https://www.stellar.org.",2014-08-05,https://www.stellar.org,https://github.com/stellar/stellar-core,2,8,1,4,2,4,4,3,2,3,49
17,Avalanche,19.12,-0.03,-0.09,-8.31,"8,063,545,880.36",https://s2.coinmarketcap.com/static/img/coins/64x64/5805.png,AVAX,"Avalanche (AVAX) is a cryptocurrency launched in 2020. Avalanche has a current supply of 456,840,464.0146735 with 421,837,764.0146735 in circulation. The last known price of Avalanche is 19.11220228 USD and is down -0.09 over the last 24 hours. It is currently trading on 921 active market(s) with $352,823,592.36 traded over the last 24 hours. More information can be found at https://avax.network/.",2020-07-13,https://avax.network/,https://github.com/ava-labs/avalanchego,2,8,1,4,2,4,4,3,2,3,50
18,Toncoin,3.00,-0.51,1.18,-6.12,"7,399,923,863.20",https://s2.coinmarketcap.com/static/img/coins/64x64/11419.png,TON,"Toncoin (TON) is a cryptocurrency . Toncoin has a current supply of 5,132,509,983.57033088 with 2,466,559,133.02979455 in circulation. The last known price of Toncoin is 3.00200944 USD and is up 1.53 over the last 24 hours. It is currently trading on 748 active market(s) with $152,617,867.56 traded over the last 24 hours. More information can be found at https://ton.org/.",2021-08-26,https://ton.org/,https://github.com/ton-blockchain,2,8,1,4,2,4,4,3,2,3,51
19,Shiba Inu,0.00,0.44,4.00,-4.87,"7,176,606,078.88",https://s2.coinmarketcap.com/static/img/coins/64x64/5994.png,SHIB,"Shiba Inu (SHIB) is a cryptocurrency launched in 2020and operates on the Ethereum platform. Shiba Inu has a current supply of 589,503,296,541,602.26915882 with 589,248,743,135,531.21911117 in circulation. The last known price of Shiba Inu is 0.00001218 USD and is up 4.14 over the last 24 hours. It is currently trading on 968 active market(s) with $145,132,741.08 traded over the last 24 hours. More information can be found at https://shibatoken.com/.",2020-08-01,https://shibatoken.com/,https://github.com/shytoshikusama/,2,8,1,4,2,4,4,3,2,3,52
20,Hedera,0.16,0.02,3.56,-5.83,"6,726,977,557.18",https://s2.coinmarketcap.com/static/img/coins/64x64/4642.png,HBAR,"Hedera (HBAR) is a cryptocurrency launched in 2017. Hedera has a current supply of 50,000,000,000 with 42,239,760,472.69508151 in circulation. The last known price of Hedera is 0.15928578 USD and is up 3.77 over the last 24 hours. It is currently trading on 346 active market(s) with $121,815,359.65 traded over the last 24 hours. More information can be found at https://www.hedera.com/.",2019-09-17,https://www.hedera.com/,https://github.com/hashgraph,2,8,1,4,2,4,4,3,2,3,53
