#,Name,Current Price (USD),1h%,24h%,7d%,Market Cap (USD),Logo,Symbol,Description,Creation Date,Website,Source Code,Trading Volume Consistency,Token Age & Market History,Developer & Team Transparency,Exchange Listings & Reputation,Liquidity & Order Book Depth,Smart Contract Audit & Security,Community & Social Media Presence,Transaction Patterns & Anomalies,Whitepaper & Roadmap Execution,Regulatory Compliance & Legal Standing
1,Bitcoin,"108,796.65",0.22,0.86,2.12,"2,162,547,529,079.68",https://s2.coinmarketcap.com/static/img/coins/64x64/1.png,BTC,"Bitcoin (BTC) is a cryptocurrency launched in 2010. Users are able to generate BTC through the process of mining. Bitcoin has a current supply of 19,876,968. The last known price of Bitcoin is 108,694.70806945 USD and is up 0.81 over the last 24 hours. It is currently trading on 12211 active market(s) with $58,365,759,424.38 traded over the last 24 hours. More information can be found at https://bitcoin.org/.",2010-07-13,https://bitcoin.org/,https://github.com/bitcoin/bitcoin,8,9,8,9,5,5,5,5,5,5
2,Ethereum,"2,721.80",-0.66,7.11,3.85,"328,582,442,038.47",https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png,ETH,"Ethereum (ETH) is a cryptocurrency . Ethereum has a current supply of 120,722,642.63995315. The last known price of Ethereum is 2,711.15334691 USD and is up 6.80 over the last 24 hours. It is currently trading on 10336 active market(s) with $33,149,732,470.07 traded over the last 24 hours. More information can be found at https://www.ethereum.org/.",2015-08-07,https://www.ethereum.org/,https://github.com/ethereum/go-ethereum,6,9,8,9,5,5,5,5,5,5
3,Tether USDt,1.00,0.01,-0.04,-0.07,"155,191,022,329.04",https://s2.coinmarketcap.com/static/img/coins/64x64/825.png,USDT,"Tether USDt (USDT) is a cryptocurrency and operates on the Ethereum platform. Tether USDt has a current supply of 157,003,724,990.01124624 with 155,181,610,791.20756989 in circulation. The last known price of Tether USDt is 0.99986186 USD and is down -0.06 over the last 24 hours. It is currently trading on 132264 active market(s) with $96,705,895,445.69 traded over the last 24 hours. More information can be found at https://tether.to.",2015-02-25,https://tether.to,N/A,8,9,3,9,5,5,5,5,5,5
4,XRP,2.27,0.02,0.61,0.62,"133,761,886,059.89",https://s2.coinmarketcap.com/static/img/coins/64x64/52.png,XRP,"XRP (XRP) is a cryptocurrency . XRP has a current supply of 99,986,060,343 with 58,819,652,442 in circulation. The last known price of XRP is 2.27198151 USD and is up 0.58 over the last 24 hours. It is currently trading on 1624 active market(s) with $3,143,134,702.92 traded over the last 24 hours. More information can be found at https://xrpl.org/.",2013-08-04,https://xrpl.org/,https://github.com/ripple/rippled,8,9,8,9,5,5,5,5,5,5
5,BNB,660.33,0.17,0.50,-1.14,"93,032,419,299.55",https://s2.coinmarketcap.com/static/img/coins/64x64/1839.png,BNB,"BNB (BNB) is a cryptocurrency . BNB has a current supply of 140,886,806.73. The last known price of BNB is 659.20641784 USD and is up 0.36 over the last 24 hours. It is currently trading on 2574 active market(s) with $1,794,589,960.71 traded over the last 24 hours. More information can be found at https://bnbchain.org/en.",2017-07-25,https://bnbchain.org/en,https://github.com/bnb-chain,8,9,8,9,5,5,5,5,5,5
6,Solana,157.70,0.43,1.53,-2.89,"82,779,165,667.26",https://s2.coinmarketcap.com/static/img/coins/64x64/5426.png,SOL,"Solana (SOL) is a cryptocurrency launched in 2020. Solana has a current supply of 602,704,800.8181468 with 524,924,725.4717294 in circulation. The last known price of Solana is 157.06526074 USD and is up 1.38 over the last 24 hours. It is currently trading on 934 active market(s) with $4,108,376,677.84 traded over the last 24 hours. More information can be found at https://solana.com.",2020-04-10,https://solana.com,https://github.com/solana-labs,8,9,8,9,5,5,5,5,5,5
7,USDC,1.00,0.01,-0.01,-0.01,"60,986,333,317.06",https://s2.coinmarketcap.com/static/img/coins/64x64/3408.png,USDC,"USDC (USDC) is a cryptocurrency launched in 2024and operates on the Ethereum platform. USDC has a current supply of 60,948,307,881.0539247. The last known price of USDC is 0.99976607 USD and is down -0.01 over the last 24 hours. It is currently trading on 28568 active market(s) with $12,949,653,538.31 traded over the last 24 hours. More information can be found at https://www.circle.com/en/usdc.",2018-10-08,https://www.circle.com/en/usdc,https://github.com/centrehq/centre-tokens,8,9,8,9,5,5,5,5,5,5
8,Dogecoin,0.19,0.21,3.16,-3.54,"28,524,220,032.05",https://s2.coinmarketcap.com/static/img/coins/64x64/74.png,DOGE,"Dogecoin (DOGE) is a cryptocurrency . Users are able to generate DOGE through the process of mining. Dogecoin has a current supply of 149,629,076,383.70525. The last known price of Dogecoin is 0.18992713 USD and is up 2.72 over the last 24 hours. It is currently trading on 1235 active market(s) with $1,489,040,127.79 traded over the last 24 hours. More information can be found at http://dogecoin.com/.",2013-12-15,http://dogecoin.com/,https://github.com/dogecoin/dogecoin,8,9,8,9,5,5,5,5,5,5
9,TRON,0.29,-0.08,3.30,8.03,"27,787,479,293.09",https://s2.coinmarketcap.com/static/img/coins/64x64/1958.png,TRX,"TRON (TRX) is a cryptocurrency . TRON has a current supply of 94,848,356,560.956068 with 94,848,349,068.335708 in circulation. The last known price of TRON is 0.29219622 USD and is up 2.88 over the last 24 hours. It is currently trading on 1183 active market(s) with $703,734,264.94 traded over the last 24 hours. More information can be found at https://trondao.org/.",2017-09-13,https://trondao.org/,https://github.com/tronprotocol/java-tron,8,9,8,9,5,5,5,5,5,5
10,Cardano,0.69,0.33,3.02,0.09,"24,539,617,324.45",https://s2.coinmarketcap.com/static/img/coins/64x64/2010.png,ADA,"Cardano (ADA) is a cryptocurrency launched in 2017. Cardano has a current supply of 44,994,596,807.107415 with 35,346,979,015.393979 in circulation. The last known price of Cardano is 0.69203828 USD and is up 2.64 over the last 24 hours. It is currently trading on 1529 active market(s) with $859,058,505.25 traded over the last 24 hours. More information can be found at https://www.cardano.org.",2017-10-01,https://www.cardano.org,https://cardanoupdates.com/,8,9,8,9,5,5,5,5,5,5
11,Hyperliquid,39.97,0.03,6.38,5.10,"13,346,130,697.07",https://s2.coinmarketcap.com/static/img/coins/64x64/32196.png,HYPE,"Hyperliquid (HYPE) is a cryptocurrency and operates on the Hyperliquid platform. Hyperliquid has a current supply of 999,993,930 with 333,928,180 in circulation. The last known price of Hyperliquid is 39.79726459 USD and is up 5.97 over the last 24 hours. It is currently trading on 105 active market(s) with $478,443,164.03 traded over the last 24 hours. More information can be found at https://hyperliquid.xyz/.",2024-07-15,https://hyperliquid.xyz/,N/A,6,4,3,9,5,5,5,5,5,5
12,Sui,3.45,0.78,2.74,3.76,"11,702,292,873.18",https://s2.coinmarketcap.com/static/img/coins/64x64/20947.png,SUI,"Sui (SUI) is a cryptocurrency . Sui has a current supply of 10,000,000,000 with 3,396,671,135.3644433 in circulation. The last known price of Sui is 3.43877636 USD and is up 2.55 over the last 24 hours. It is currently trading on 677 active market(s) with $1,065,736,370.21 traded over the last 24 hours. More information can be found at https://sui.io/#.",2022-07-12,https://sui.io/#,https://github.com/MystenLabs,8,7,8,9,5,5,5,5,5,5
13,Chainlink,14.94,-0.29,6.96,4.15,"9,818,752,138.50",https://s2.coinmarketcap.com/static/img/coins/64x64/1975.png,LINK,"Chainlink (LINK) is a cryptocurrency and operates on the Ethereum platform. Chainlink has a current supply of 1,000,000,000 with 657,099,970.45278671 in circulation. The last known price of Chainlink is 14.8898601 USD and is up 6.61 over the last 24 hours. It is currently trading on 2020 active market(s) with $452,385,366.80 traded over the last 24 hours. More information can be found at https://chain.link/.",2017-09-20,https://chain.link/,https://github.com/smartcontractkit/chainlink,6,9,8,7,5,5,5,5,5,5
