#,Name,Current Price (CAD),1h%,24h%,7d%,Market Cap (CAD),Logo,Symbol,Description,Creation Date,Website,Source Code
1,Bitcoin,"143,457.21",-1.37,-2.49,-4.11,"2,850,800,481,505.43",https://s2.coinmarketcap.com/static/img/coins/64x64/1.png,BTC,"Bitcoin (BTC) is a cryptocurrency launched in 2010. Users are able to generate BTC through the process of mining. Bitcoin has a current supply of 19,872,115. The last known price of Bitcoin is 104,388.1957443 USD and is down -2.33 over the last 24 hours. It is currently trading on 12204 active market(s) with $58,998,077,821.87 traded over the last 24 hours. More information can be found at https://bitcoin.org/.",2010-07-13,https://bitcoin.org/,https://github.com/bitcoin/bitcoin
2,Ethereum,"3,503.50",-2.20,-3.77,-0.60,"422,958,279,834.74",https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png,ETH,"Ethereum (ETH) is a cryptocurrency . Ethereum has a current supply of 120,724,433.40532086. The last known price of Ethereum is 2,552.20708113 USD and is down -3.56 over the last 24 hours. It is currently trading on 10322 active market(s) with $23,429,926,919.92 traded over the last 24 hours. More information can be found at https://www.ethereum.org/.",2015-08-07,https://www.ethereum.org/,https://github.com/ethereum/go-ethereum
3,Tether USDt,1.38,-0.03,-0.02,-0.01,"210,585,475,884.44",https://s2.coinmarketcap.com/static/img/coins/64x64/825.png,USDT,"Tether USDt (USDT) is a cryptocurrency and operates on the Ethereum platform. Tether USDt has a current supply of 156,004,090,109.20750524 with 153,083,661,570.68706789 in circulation. The last known price of Tether USDt is 1.00022931 USD and is up 0.01 over the last 24 hours. It is currently trading on 131145 active market(s) with $97,069,213,808.15 traded over the last 24 hours. More information can be found at https://tether.to.",2015-02-25,https://tether.to,N/A
4,XRP,2.96,-1.78,-5.55,-8.52,"173,809,588,839.99",https://s2.coinmarketcap.com/static/img/coins/64x64/52.png,XRP,"XRP (XRP) is a cryptocurrency . XRP has a current supply of 99,986,107,098 with 58,686,007,292 in circulation. The last known price of XRP is 2.17018188 USD and is down -4.77 over the last 24 hours. It is currently trading on 1621 active market(s) with $3,666,962,006.91 traded over the last 24 hours. More information can be found at https://xrpl.org/.",2013-08-04,https://xrpl.org/,https://github.com/ripple/rippled
5,BNB,910.90,-1.11,-2.60,-0.87,"128,334,529,388.10",https://s2.coinmarketcap.com/static/img/coins/64x64/1839.png,BNB,"BNB (BNB) is a cryptocurrency . BNB has a current supply of 140,887,730.43. The last known price of BNB is 662.55253096 USD and is down -2.61 over the last 24 hours. It is currently trading on 2558 active market(s) with $1,981,682,902.21 traded over the last 24 hours. More information can be found at https://bnbchain.org/en.",2017-07-25,https://bnbchain.org/en,https://github.com/bnb-chain
6,Solana,217.23,-2.15,-6.74,-12.38,"113,373,763,173.32",https://s2.coinmarketcap.com/static/img/coins/64x64/5426.png,SOL,"Solana (SOL) is a cryptocurrency launched in 2020. Solana has a current supply of 601,974,256.2171059 with 521,894,860.2950695 in circulation. The last known price of Solana is 157.92011821 USD and is down -6.76 over the last 24 hours. It is currently trading on 929 active market(s) with $4,424,378,944.56 traded over the last 24 hours. More information can be found at https://solana.com.",2020-04-10,https://solana.com,https://github.com/solana-labs
7,USDC,1.38,0.03,0.03,0.05,"83,972,222,468.43",https://s2.coinmarketcap.com/static/img/coins/64x64/3408.png,USDC,"USDC (USDC) is a cryptocurrency and operates on the Ethereum platform. USDC has a current supply of 61,059,794,915.5248305. The last known price of USDC is 0.9997483 USD and is up 0.01 over the last 24 hours. It is currently trading on 28369 active market(s) with $14,168,985,287.84 traded over the last 24 hours. More information can be found at https://www.usdc.com/.",2018-10-08,https://www.usdc.com/,https://github.com/centrehq/centre-tokens
8,Dogecoin,0.27,-3.05,-10.24,-15.60,"40,528,412,782.74",https://s2.coinmarketcap.com/static/img/coins/64x64/74.png,DOGE,"Dogecoin (DOGE) is a cryptocurrency . Users are able to generate DOGE through the process of mining. Dogecoin has a current supply of 149,479,496,383.70523. The last known price of Dogecoin is 0.19617744 USD and is down -10.64 over the last 24 hours. It is currently trading on 1232 active market(s) with $2,321,346,755.17 traded over the last 24 hours. More information can be found at http://dogecoin.com/.",2013-12-15,http://dogecoin.com/,https://github.com/dogecoin/dogecoin
9,TRON,0.37,-1.09,-2.79,0.28,"35,046,242,956.63",https://s2.coinmarketcap.com/static/img/coins/64x64/1958.png,TRX,"TRON (TRX) is a cryptocurrency . TRON has a current supply of 94,866,612,486.905758 with 94,866,571,223.664068 in circulation. The last known price of TRON is 0.26851799 USD and is down -2.79 over the last 24 hours. It is currently trading on 1183 active market(s) with $723,536,913.90 traded over the last 24 hours. More information can be found at https://trondao.org/.",2017-09-13,https://trondao.org/,https://github.com/tronprotocol/java-tron
10,Cardano,0.95,-1.83,-6.11,-10.94,"33,635,435,138.69",https://s2.coinmarketcap.com/static/img/coins/64x64/2010.png,ADA,"Cardano (ADA) is a cryptocurrency launched in 2017. Cardano has a current supply of 44,994,501,828.187738 with 35,337,743,183.176508 in circulation. The last known price of Cardano is 0.68932059 USD and is down -6.50 over the last 24 hours. It is currently trading on 1526 active market(s) with $992,343,101.91 traded over the last 24 hours. More information can be found at https://www.cardano.org.",2017-10-01,https://www.cardano.org,https://cardanoupdates.com/
11,Sui,4.53,-4.53,-7.53,-9.94,"15,110,194,979.52",https://s2.coinmarketcap.com/static/img/coins/64x64/20947.png,SUI,"Sui (SUI) is a cryptocurrency . Sui has a current supply of 10,000,000,000 with 3,338,327,017.9116654 in circulation. The last known price of Sui is 3.28911231 USD and is down -7.68 over the last 24 hours. It is currently trading on 671 active market(s) with $1,291,381,560.77 traded over the last 24 hours. More information can be found at https://sui.io/#.",2022-07-12,https://sui.io/#,https://github.com/MystenLabs
12,Hyperliquid,44.65,-0.35,1.49,-5.61,"14,909,879,896.65",https://s2.coinmarketcap.com/static/img/coins/64x64/32196.png,HYPE,"Hyperliquid (HYPE) is a cryptocurrency and operates on the Hyperliquid platform. Hyperliquid has a current supply of 999,993,930 with 333,928,180 in circulation. The last known price of Hyperliquid is 32.17754889 USD and is up 0.68 over the last 24 hours. It is currently trading on 93 active market(s) with $411,948,770.82 traded over the last 24 hours. More information can be found at https://hyperliquid.xyz/.",2024-07-15,https://hyperliquid.xyz/,N/A
13,Chainlink,19.25,-2.27,-9.01,-13.23,"12,645,967,152.09",https://s2.coinmarketcap.com/static/img/coins/64x64/1975.png,LINK,"Chainlink (LINK) is a cryptocurrency and operates on the Ethereum platform. Chainlink has a current supply of 1,000,000,000 with 657,099,970.45278671 in circulation. The last known price of Chainlink is 13.96190951 USD and is down -9.20 over the last 24 hours. It is currently trading on 2019 active market(s) with $676,221,242.73 traded over the last 24 hours. More information can be found at https://chain.link/.",2017-09-20,https://chain.link/,https://github.com/smartcontractkit/chainlink
14,Avalanche,28.94,-2.61,-7.76,-13.39,"12,188,485,995.93",https://s2.coinmarketcap.com/static/img/coins/64x64/5805.png,AVAX,"Avalanche (AVAX) is a cryptocurrency launched in 2020. Avalanche has a current supply of 456,199,217.71485615 with 421,196,517.71485615 in circulation. The last known price of Avalanche is 21.01882564 USD and is down -7.79 over the last 24 hours. It is currently trading on 919 active market(s) with $602,677,862.11 traded over the last 24 hours. More information can be found at https://avax.network/.",2020-07-13,https://avax.network/,https://github.com/ava-labs/avalanchego
15,Stellar,0.37,-2.41,-5.05,-7.98,"11,507,268,917.50",https://s2.coinmarketcap.com/static/img/coins/64x64/512.png,XLM,"Stellar (XLM) is a cryptocurrency . Stellar has a current supply of 50,001,786,892.81785 with 31,145,234,386.939827 in circulation. The last known price of Stellar is 0.26864092 USD and is down -5.03 over the last 24 hours. It is currently trading on 711 active market(s) with $254,348,274.08 traded over the last 24 hours. More information can be found at https://www.stellar.org.",2014-08-05,https://www.stellar.org,https://github.com/stellar/stellar-core
16,UNUS SED LEO,12.30,-2.96,-1.51,2.09,"11,356,059,286.98",https://s2.coinmarketcap.com/static/img/coins/64x64/3957.png,LEO,"UNUS SED LEO (LEO) is a cryptocurrency and operates on the Ethereum platform. UNUS SED LEO has a current supply of 985,239,504 with 923,338,245.9 in circulation. The last known price of UNUS SED LEO is 8.95053714 USD and is down -1.41 over the last 24 hours. It is currently trading on 61 active market(s) with $4,538,388.94 traded over the last 24 hours. More information can be found at https://www.bitfinex.com/.",2019-05-21,https://www.bitfinex.com/,N/A
17,Toncoin,4.47,-1.73,-4.32,6.69,"11,145,065,085.27",https://s2.coinmarketcap.com/static/img/coins/64x64/11419.png,TON,"Toncoin (TON) is a cryptocurrency . Toncoin has a current supply of 5,131,240,189.30607295 with 2,491,752,882.67691055 in circulation. The last known price of Toncoin is 3.24460081 USD and is down -4.41 over the last 24 hours. It is currently trading on 744 active market(s) with $384,150,528.90 traded over the last 24 hours. More information can be found at https://ton.org/.",2021-08-26,https://ton.org/,https://github.com/ton-blockchain
18,Bitcoin Cash,549.79,-2.17,-2.92,-9.82,"10,928,035,701.11",https://s2.coinmarketcap.com/static/img/coins/64x64/1831.png,BCH,"Bitcoin Cash (BCH) is a cryptocurrency . Users are able to generate BCH through the process of mining. Bitcoin Cash has a current supply of 19,876,775. The last known price of Bitcoin Cash is 398.72120769 USD and is down -3.13 over the last 24 hours. It is currently trading on 1022 active market(s) with $285,175,611.61 traded over the last 24 hours. More information can be found at http://bch.info.",2017-07-23,http://bch.info,https://gitlab.com/bitcoin-cash-node/
19,Shiba Inu,0.00,-2.64,-8.60,-12.22,"10,477,847,369.56",https://s2.coinmarketcap.com/static/img/coins/64x64/5994.png,SHIB,"Shiba Inu (SHIB) is a cryptocurrency launched in 2020and operates on the Ethereum platform. Shiba Inu has a current supply of 589,504,168,190,509.27670757 with 589,249,738,948,632.78015197 in circulation. The last known price of Shiba Inu is 0.00001289 USD and is down -8.85 over the last 24 hours. It is currently trading on 967 active market(s) with $332,852,611.21 traded over the last 24 hours. More information can be found at https://shibatoken.com/.",2020-08-01,https://shibatoken.com/,https://github.com/shytoshikusama/
20,Hedera,0.23,-3.17,-6.63,-14.49,"9,843,928,234.69",https://s2.coinmarketcap.com/static/img/coins/64x64/4642.png,HBAR,"Hedera (HBAR) is a cryptocurrency launched in 2017. Hedera has a current supply of 50,000,000,000 with 42,239,760,469.18339136 in circulation. The last known price of Hedera is 0.16869735 USD and is down -7.06 over the last 24 hours. It is currently trading on 344 active market(s) with $206,605,307.67 traded over the last 24 hours. More information can be found at https://www.hedera.com/.",2019-09-17,https://www.hedera.com/,https://github.com/hashgraph
21,Litecoin,120.52,-2.67,-8.04,-10.90,"9,148,487,897.06",https://s2.coinmarketcap.com/static/img/coins/64x64/2.png,LTC,"Litecoin (LTC) is a cryptocurrency . Users are able to generate LTC through the process of mining. Litecoin has a current supply of 84,000,000 with 75,911,214.48347135 in circulation. The last known price of Litecoin is 87.34357672 USD and is down -8.36 over the last 24 hours. It is currently trading on 1373 active market(s) with $658,601,625.72 traded over the last 24 hours. More information can be found at https://litecoin.org/.",2013-04-28,https://litecoin.org/,https://github.com/litecoin-project/litecoin
22,Polkadot,5.65,-1.96,-8.62,-12.89,"8,941,656,332.54",https://s2.coinmarketcap.com/static/img/coins/64x64/6636.png,DOT,"Polkadot (DOT) is a cryptocurrency . Polkadot has a current supply of 1,582,624,086.00139284. The last known price of Polkadot is 4.09417357 USD and is down -8.95 over the last 24 hours. It is currently trading on 914 active market(s) with $295,489,465.57 traded over the last 24 hours. More information can be found at https://polkadot.com.",2020-08-19,https://polkadot.com,https://github.com/paritytech/polkadot-sdk
23,Monero,458.12,-0.50,-1.87,-15.91,"8,450,766,144.81",https://s2.coinmarketcap.com/static/img/coins/64x64/328.png,XMR,"Monero (XMR) is a cryptocurrency . Users are able to generate XMR through the process of mining. Monero has a current supply of 18,446,744.07370955. The last known price of Monero is 332.42198604 USD and is down -1.95 over the last 24 hours. It is currently trading on 320 active market(s) with $99,771,483.44 traded over the last 24 hours. More information can be found at https://www.getmonero.org/.",2014-05-21,https://www.getmonero.org/,https://github.com/monero-project/monero
24,Bitget Token,6.54,-2.00,-9.36,-14.48,"7,647,354,075.17",https://s2.coinmarketcap.com/static/img/coins/64x64/11092.png,BGB,"Bitget Token (BGB) is a cryptocurrency and operates on the Ethereum platform. Bitget Token has a current supply of 1,169,993,089.2. The last known price of Bitget Token is 4.76026269 USD and is down -9.18 over the last 24 hours. It is currently trading on 31 active market(s) with $156,653,231.44 traded over the last 24 hours. More information can be found at https://www.bitget.com/.",2021-07-29,https://www.bitget.com/,N/A
25,Dai,1.38,-0.01,-0.01,-0.01,"7,379,309,653.66",https://s2.coinmarketcap.com/static/img/coins/64x64/4943.png,DAI,"Dai (DAI) is a cryptocurrency and operates on the Ethereum platform. Dai has a current supply of 5,365,382,702.664872. The last known price of Dai is 0.99981203 USD and is up -0.00 over the last 24 hours. It is currently trading on 3520 active market(s) with $18,307,586,177.43 traded over the last 24 hours. More information can be found at https://makerdao.com/.",2019-11-22,https://makerdao.com/,N/A
26,Ethena USDe,1.38,-0.03,0.00,-0.08,"7,304,464,354.48",https://s2.coinmarketcap.com/static/img/coins/64x64/29470.png,USDe,"Ethena USDe (USDe) is a cryptocurrency and operates on the Ethereum platform. Ethena USDe has a current supply of 5,311,890,769.06943368. The last known price of Ethena USDe is 0.99952387 USD and is down -0.02 over the last 24 hours. It is currently trading on 153 active market(s) with $164,842,107.09 traded over the last 24 hours. More information can be found at https://www.ethena.fi/.",2024-02-20,https://www.ethena.fi/,https://github.com/ethena-labs
27,Pepe,0.00,-3.86,-9.01,-15.90,"7,212,256,093.44",https://s2.coinmarketcap.com/static/img/coins/64x64/24478.png,PEPE,"Pepe (PEPE) is a cryptocurrency launched in 2023and operates on the Ethereum platform. Pepe has a current supply of 420,689,899,653,543.53949133. The last known price of Pepe is 0.0000124 USD and is down -9.54 over the last 24 hours. It is currently trading on 575 active market(s) with $1,648,351,123.74 traded over the last 24 hours. More information can be found at https://www.pepe.vip/.",2023-04-17,https://www.pepe.vip/,N/A
28,Pi,0.92,-3.11,-5.62,-12.74,"6,662,668,681.41",https://s2.coinmarketcap.com/static/img/coins/64x64/35697.png,PI,"Pi (PI) is a cryptocurrency launched in 2019. Pi has a current supply of 100,000,000,000 with 7,267,512,482.213264 in circulation. The last known price of Pi is 0.6663788 USD and is down -5.44 over the last 24 hours. It is currently trading on 57 active market(s) with $161,977,233.51 traded over the last 24 hours. More information can be found at https://minepi.com.",2025-02-11,https://minepi.com,https://github.com/orgs/pi-apps/
29,Uniswap,8.70,-3.05,-6.90,3.18,"5,470,308,857.68",https://s2.coinmarketcap.com/static/img/coins/64x64/7083.png,UNI,"Uniswap (UNI) is a cryptocurrency launched in 2020and operates on the Ethereum platform. Uniswap has a current supply of 1,000,000,000 with 628,688,836.71 in circulation. The last known price of Uniswap is 6.30619146 USD and is down -6.91 over the last 24 hours. It is currently trading on 1240 active market(s) with $587,696,065.37 traded over the last 24 hours. More information can be found at https://uniswap.org/blog/uni/.",2020-09-17,https://uniswap.org/blog/uni/,N/A
30,Aave,335.26,-1.69,-4.26,-4.53,"5,079,655,607.62",https://s2.coinmarketcap.com/static/img/coins/64x64/7278.png,AAVE,"Aave (AAVE) is a cryptocurrency and operates on the Ethereum platform. Aave has a current supply of 16,000,000 with 15,151,414.52197352 in circulation. The last known price of Aave is 243.03506015 USD and is down -4.52 over the last 24 hours. It is currently trading on 1088 active market(s) with $416,872,581.32 traded over the last 24 hours. More information can be found at https://aave.com/.",2020-10-02,https://aave.com/,https://github.com/aave
31,Bittensor,534.53,-2.37,-7.73,-12.52,"4,663,105,543.71",https://s2.coinmarketcap.com/static/img/coins/64x64/22974.png,TAO,"Bittensor (TAO) is a cryptocurrency launched in 2021. Bittensor has a current supply of 8,723,713. The last known price of Bittensor is 388.15156776 USD and is down -8.00 over the last 24 hours. It is currently trading on 155 active market(s) with $129,295,408.66 traded over the last 24 hours. More information can be found at https://bittensor.com.",2023-03-06,https://bittensor.com,https://github.com/opentensor/BitTensor
32,Aptos,6.80,-1.55,-6.40,-11.19,"4,286,127,134.06",https://s2.coinmarketcap.com/static/img/coins/64x64/21794.png,APT,"Aptos (APT) is a cryptocurrency launched in 2022. Aptos has a current supply of 1,150,138,926.8225045 with 630,742,079.9019485 in circulation. The last known price of Aptos is 4.92508523 USD and is down -6.86 over the last 24 hours. It is currently trading on 512 active market(s) with $233,007,959.31 traded over the last 24 hours. More information can be found at https://aptosfoundation.org.",2022-10-19,https://aptosfoundation.org,https://github.com/aptos-labs
33,NEAR Protocol,3.45,-3.09,-11.21,-13.77,"4,213,420,589.76",https://s2.coinmarketcap.com/static/img/coins/64x64/6535.png,NEAR,"NEAR Protocol (NEAR) is a cryptocurrency launched in 2020. NEAR Protocol has a current supply of 1,252,814,669 with 1,219,625,407 in circulation. The last known price of NEAR Protocol is 2.49958982 USD and is down -11.69 over the last 24 hours. It is currently trading on 520 active market(s) with $267,870,367.87 traded over the last 24 hours. More information can be found at https://near.org/.",2020-08-11,https://near.org/,https://github.com/near
34,OKB,69.49,-0.51,-2.70,-3.08,"4,169,261,476.61",https://s2.coinmarketcap.com/static/img/coins/64x64/3897.png,OKB,"OKB (OKB) is a cryptocurrency and operates on the Ethereum platform. OKB has a current supply of 300,000,000 with 60,000,000 in circulation. The last known price of OKB is 50.51123371 USD and is down -2.69 over the last 24 hours. It is currently trading on 141 active market(s) with $5,784,929.88 traded over the last 24 hours. More information can be found at https://www.okx.com/.",2019-04-30,https://www.okx.com/,N/A
