#,Name,Current Price (PHP),1h%,24h%,7d%,Market Cap (PHP),Logo,Symbol,Description,Creation Date,Website,Source Code
1,Bitcoin,"5,791,681.49",0.20,-2.16,-4.29,"115,094,443,280,514.08",https://s2.coinmarketcap.com/static/img/coins/64x64/1.png,BTC,"Bitcoin (BTC) is a cryptocurrency launched in 2010. Users are able to generate BTC through the process of mining. Bitcoin has a current supply of 19,872,371. The last known price of Bitcoin is 103,799.68987864 USD and is down -2.18 over the last 24 hours. It is currently trading on 12204 active market(s) with $57,181,701,480.73 traded over the last 24 hours. More information can be found at https://bitcoin.org/.",2010-07-13,https://bitcoin.org/,https://github.com/bitcoin/bitcoin
2,Ethereum,"140,690.75",0.39,-4.28,-1.44,"16,984,750,584,524.87",https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png,ETH,"Ethereum (ETH) is a cryptocurrency . Ethereum has a current supply of 120,724,006.99200347. The last known price of Ethereum is 2,521.64555017 USD and is down -4.35 over the last 24 hours. It is currently trading on 10322 active market(s) with $25,362,766,936.79 traded over the last 24 hours. More information can be found at https://www.ethereum.org/.",2015-08-07,https://www.ethereum.org/,https://github.com/ethereum/go-ethereum
3,Tether USDt,55.79,0.00,0.04,0.02,"8,537,581,727,477.73",https://s2.coinmarketcap.com/static/img/coins/64x64/825.png,USDT,"Tether USDt (USDT) is a cryptocurrency and operates on the Ethereum platform. Tether USDt has a current supply of 156,004,090,106.72002524 with 153,032,161,568.19958789 in circulation. The last known price of Tether USDt is 1.00033771 USD and is up 0.02 over the last 24 hours. It is currently trading on 131198 active market(s) with $101,211,659,336.13 traded over the last 24 hours. More information can be found at https://tether.to.",2015-02-25,https://tether.to,N/A
4,XRP,118.99,1.14,-3.99,-9.04,"6,991,867,769,249.73",https://s2.coinmarketcap.com/static/img/coins/64x64/52.png,XRP,"XRP (XRP) is a cryptocurrency . XRP has a current supply of 99,986,084,900 with 58,759,724,027 in circulation. The last known price of XRP is 2.12716589 USD and is down -4.25 over the last 24 hours. It is currently trading on 1621 active market(s) with $3,702,561,343.22 traded over the last 24 hours. More information can be found at https://xrpl.org/.",2013-08-04,https://xrpl.org/,https://github.com/ripple/rippled
5,BNB,"36,432.07",0.40,-2.81,-2.17,"5,132,831,066,912.56",https://s2.coinmarketcap.com/static/img/coins/64x64/1839.png,BNB,"BNB (BNB) is a cryptocurrency . BNB has a current supply of 140,887,699.66. The last known price of BNB is 652.72158893 USD and is down -2.86 over the last 24 hours. It is currently trading on 2558 active market(s) with $1,901,151,048.85 traded over the last 24 hours. More information can be found at https://bnbchain.org/en.",2017-07-25,https://bnbchain.org/en,https://github.com/bnb-chain
6,Solana,"8,684.33",1.03,-5.85,-11.61,"4,535,768,084,933.62",https://s2.coinmarketcap.com/static/img/coins/64x64/5426.png,SOL,"Solana (SOL) is a cryptocurrency launched in 2020. Solana has a current supply of 601,973,792.5756108 with 522,293,135.68952847 in circulation. The last known price of Solana is 155.30327008 USD and is down -6.07 over the last 24 hours. It is currently trading on 930 active market(s) with $4,368,382,311.83 traded over the last 24 hours. More information can be found at https://solana.com.",2020-04-10,https://solana.com,https://github.com/solana-labs
7,USDC,55.76,-0.00,0.01,-0.00,"3,404,185,860,803.01",https://s2.coinmarketcap.com/static/img/coins/64x64/3408.png,USDC,"USDC (USDC) is a cryptocurrency and operates on the Ethereum platform. USDC has a current supply of 61,048,878,862.4135575. The last known price of USDC is 0.99985027 USD and is up 0.01 over the last 24 hours. It is currently trading on 28379 active market(s) with $13,906,176,513.44 traded over the last 24 hours. More information can be found at https://www.usdc.com/.",2018-10-08,https://www.usdc.com/,https://github.com/centrehq/centre-tokens
8,Dogecoin,10.63,0.81,-8.78,-17.12,"1,589,383,154,010.60",https://s2.coinmarketcap.com/static/img/coins/64x64/74.png,DOGE,"Dogecoin (DOGE) is a cryptocurrency . Users are able to generate DOGE through the process of mining. Dogecoin has a current supply of 149,486,536,383.70525. The last known price of Dogecoin is 0.19061489 USD and is down -8.76 over the last 24 hours. It is currently trading on 1232 active market(s) with $2,374,937,494.87 traded over the last 24 hours. More information can be found at http://dogecoin.com/.",2013-12-15,http://dogecoin.com/,https://github.com/dogecoin/dogecoin
9,TRON,14.94,0.41,-1.49,-1.78,"1,417,005,306,392.53",https://s2.coinmarketcap.com/static/img/coins/64x64/1958.png,TRX,"TRON (TRX) is a cryptocurrency . TRON has a current supply of 94,866,448,981.975838 with 94,866,456,401.873868 in circulation. The last known price of TRON is 0.26777514 USD and is down -1.54 over the last 24 hours. It is currently trading on 1183 active market(s) with $840,337,592.62 traded over the last 24 hours. More information can be found at https://trondao.org/.",2017-09-13,https://trondao.org/,https://github.com/tronprotocol/java-tron
10,Cardano,37.34,1.22,-5.73,-12.48,"1,319,604,778,793.28",https://s2.coinmarketcap.com/static/img/coins/64x64/2010.png,ADA,"Cardano (ADA) is a cryptocurrency launched in 2017. Cardano has a current supply of 44,994,501,828.187738 with 35,337,743,183.176508 in circulation. The last known price of Cardano is 0.66734629 USD and is down -6.05 over the last 24 hours. It is currently trading on 1527 active market(s) with $995,785,331.28 traded over the last 24 hours. More information can be found at https://www.cardano.org.",2017-10-01,https://www.cardano.org,https://cardanoupdates.com/
11,Hyperliquid,"1,784.61",1.05,-0.63,-5.61,"595,931,174,013.12",https://s2.coinmarketcap.com/static/img/coins/64x64/32196.png,HYPE,"Hyperliquid (HYPE) is a cryptocurrency and operates on the Hyperliquid platform. Hyperliquid has a current supply of 999,993,930 with 333,928,180 in circulation. The last known price of Hyperliquid is 32.06951384 USD and is down -0.29 over the last 24 hours. It is currently trading on 93 active market(s) with $415,832,465.74 traded over the last 24 hours. More information can be found at https://hyperliquid.xyz/.",2024-07-15,https://hyperliquid.xyz/,N/A
12,Sui,176.16,1.69,-9.88,-14.07,"588,068,049,220.19",https://s2.coinmarketcap.com/static/img/coins/64x64/20947.png,SUI,"Sui (SUI) is a cryptocurrency . Sui has a current supply of 10,000,000,000 with 3,338,327,017.9116654 in circulation. The last known price of Sui is 3.15655252 USD and is down -9.88 over the last 24 hours. It is currently trading on 671 active market(s) with $1,456,069,897.48 traded over the last 24 hours. More information can be found at https://sui.io/#.",2022-07-12,https://sui.io/#,https://github.com/MystenLabs
13,Chainlink,761.44,0.77,-7.17,-13.88,"500,344,882,307.68",https://s2.coinmarketcap.com/static/img/coins/64x64/1975.png,LINK,"Chainlink (LINK) is a cryptocurrency and operates on the Ethereum platform. Chainlink has a current supply of 1,000,000,000 with 657,099,970.45278671 in circulation. The last known price of Chainlink is 13.64041667 USD and is down -7.27 over the last 24 hours. It is currently trading on 2020 active market(s) with $615,864,544.00 traded over the last 24 hours. More information can be found at https://chain.link/.",2017-09-20,https://chain.link/,https://github.com/smartcontractkit/chainlink
14,Avalanche,"1,125.66",0.56,-7.42,-13.72,"474,460,134,607.18",https://s2.coinmarketcap.com/static/img/coins/64x64/5805.png,AVAX,"Avalanche (AVAX) is a cryptocurrency launched in 2020. Avalanche has a current supply of 456,498,272.1345264 with 421,495,572.1345264 in circulation. The last known price of Avalanche is 20.12657331 USD and is down -7.81 over the last 24 hours. It is currently trading on 919 active market(s) with $568,041,488.92 traded over the last 24 hours. More information can be found at https://avax.network/.",2020-07-13,https://avax.network/,https://github.com/ava-labs/avalanchego
