#,Name,Current Price (USD),1h%,24h%,7d%,Market Cap (USD),Logo,Symbol,Description,Creation Date,Website,Source Code
1,Bitcoin,"103,515.34",0.01,-2.28,-5.22,"2,057,107,224,142.42",https://s2.coinmarketcap.com/static/img/coins/64x64/1.png,BTC,"Bitcoin (BTC) is a cryptocurrency launched in 2010. Users are able to generate BTC through the process of mining. Bitcoin has a current supply of 19,872,468. The last known price of Bitcoin is 103,361.13921111 USD and is down -2.44 over the last 24 hours. It is currently trading on 12204 active market(s) with $50,660,273,229.19 traded over the last 24 hours. More information can be found at https://bitcoin.org/.",2010-07-13,https://bitcoin.org/,https://github.com/bitcoin/bitcoin
2,Ethereum,"2,519.18",-0.37,-3.99,-1.79,"304,124,945,541.44",https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png,ETH,"Ethereum (ETH) is a cryptocurrency . Ethereum has a current supply of 120,724,006.99200347. The last known price of Ethereum is 2,517.86988047 USD and is down -4.08 over the last 24 hours. It is currently trading on 10322 active market(s) with $22,771,556,292.43 traded over the last 24 hours. More information can be found at https://www.ethereum.org/.",2015-08-07,https://www.ethereum.org/,https://github.com/ethereum/go-ethereum
3,Tether USDt,1.00,-0.01,0.01,-0.00,"153,065,995,048.44",https://s2.coinmarketcap.com/static/img/coins/64x64/825.png,USDT,"Tether USDt (USDT) is a cryptocurrency and operates on the Ethereum platform. Tether USDt has a current supply of 156,004,090,106.72002524 with 153,032,161,568.19958789 in circulation. The last known price of Tether USDt is 1.00030871 USD and is up 0.00 over the last 24 hours. It is currently trading on 131208 active market(s) with $90,005,975,992.20 traded over the last 24 hours. More information can be found at https://tether.to.",2015-02-25,https://tether.to,N/A
4,XRP,2.14,-0.51,-3.25,-9.31,"125,530,422,828.61",https://s2.coinmarketcap.com/static/img/coins/64x64/52.png,XRP,"XRP (XRP) is a cryptocurrency . XRP has a current supply of 99,986,084,900 with 58,759,724,027 in circulation. The last known price of XRP is 2.13563324 USD and is down -3.23 over the last 24 hours. It is currently trading on 1621 active market(s) with $3,357,389,493.66 traded over the last 24 hours. More information can be found at https://xrpl.org/.",2013-08-04,https://xrpl.org/,https://github.com/ripple/rippled
5,BNB,654.13,-0.23,-2.56,-3.10,"92,158,756,341.83",https://s2.coinmarketcap.com/static/img/coins/64x64/1839.png,BNB,"BNB (BNB) is a cryptocurrency . BNB has a current supply of 140,887,675.65. The last known price of BNB is 653.97145801 USD and is down -2.59 over the last 24 hours. It is currently trading on 2558 active market(s) with $1,798,528,176.54 traded over the last 24 hours. More information can be found at https://bnbchain.org/en.",2017-07-25,https://bnbchain.org/en,https://github.com/bnb-chain
6,Solana,153.36,-0.67,-6.52,-13.48,"80,096,710,382.60",https://s2.coinmarketcap.com/static/img/coins/64x64/5426.png,SOL,"Solana (SOL) is a cryptocurrency launched in 2020. Solana has a current supply of 601,973,557.1826032 with 522,292,900.2736461 in circulation. The last known price of Solana is 153.22582082 USD and is down -6.50 over the last 24 hours. It is currently trading on 930 active market(s) with $3,916,463,161.43 traded over the last 24 hours. More information can be found at https://solana.com.",2020-04-10,https://solana.com,https://github.com/solana-labs
7,USDC,1.00,-0.02,-0.02,-0.02,"61,028,039,021.52",https://s2.coinmarketcap.com/static/img/coins/64x64/3408.png,USDC,"USDC (USDC) is a cryptocurrency and operates on the Ethereum platform. USDC has a current supply of 61,046,448,174.6301905. The last known price of USDC is 0.99972737 USD and is up 0.00 over the last 24 hours. It is currently trading on 28383 active market(s) with $12,059,748,093.98 traded over the last 24 hours. More information can be found at https://www.usdc.com/.",2018-10-08,https://www.usdc.com/,https://github.com/centrehq/centre-tokens
8,Dogecoin,0.19,-0.97,-9.01,-18.66,"27,925,655,723.88",https://s2.coinmarketcap.com/static/img/coins/64x64/74.png,DOGE,"Dogecoin (DOGE) is a cryptocurrency . Users are able to generate DOGE through the process of mining. Dogecoin has a current supply of 149,490,246,383.70517. The last known price of Dogecoin is 0.186554 USD and is down -9.09 over the last 24 hours. It is currently trading on 1232 active market(s) with $2,112,177,531.71 traded over the last 24 hours. More information can be found at http://dogecoin.com/.",2013-12-15,http://dogecoin.com/,https://github.com/dogecoin/dogecoin
9,TRON,0.27,-0.11,-1.07,-1.42,"25,522,645,106.67",https://s2.coinmarketcap.com/static/img/coins/64x64/1958.png,TRX,"TRON (TRX) is a cryptocurrency . TRON has a current supply of 94,866,158,439.047308 with 94,866,137,577.559618 in circulation. The last known price of TRON is 0.26901824 USD and is down -1.10 over the last 24 hours. It is currently trading on 1183 active market(s) with $754,849,482.85 traded over the last 24 hours. More information can be found at https://trondao.org/.",2017-09-13,https://trondao.org/,https://github.com/tronprotocol/java-tron
10,Cardano,0.67,-0.53,-5.93,-12.40,"23,570,371,286.75",https://s2.coinmarketcap.com/static/img/coins/64x64/2010.png,ADA,"Cardano (ADA) is a cryptocurrency launched in 2017. Cardano has a current supply of 44,994,501,828.187738 with 35,337,743,183.176508 in circulation. The last known price of Cardano is 0.66600326 USD and is down -6.16 over the last 24 hours. It is currently trading on 1527 active market(s) with $963,310,294.73 traded over the last 24 hours. More information can be found at https://www.cardano.org.",2017-10-01,https://www.cardano.org,https://cardanoupdates.com/
